 ?: {'precision': 0.9913793103448276, 'recall': 0.6020942408376964, 'f1': 0.7491856677524431}
 Federal-gov: {'precision': 0.926829268292683, 'recall': 0.921832884097035, 'f1': 0.9243243243243243}
 Local-gov: {'precision': 0.8756855575868373, 'recall': 0.7763371150729336, 'f1': 0.8230240549828179}
 Never-worked: {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
 Private: {'precision': 0.8882086771360128, 'recall': 0.6723755792867218, 'f1': 0.7653669724770642}
 Self-emp-inc: {'precision': 0.9152276295133438, 'recall': 0.9372990353697749, 'f1': 0.926131850675139}
 Self-emp-not-inc: {'precision': 0.9233511586452763, 'recall': 0.7154696132596685, 'f1': 0.8062256809338522}
 State-gov: {'precision': 0.8975155279503105, 'recall': 0.8186968838526912, 'f1': 0.8562962962962963}
 Without-pay: {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
